sex,# of cubs,tenure
female,0,93.73
female,0,93.57
female,0,59.27
female,0,44.23
female,0,50.9
female,0,110.03
female,0,36.77
female,0,96.73
female,0,143.17
female,0,44.47
female,0,127
female,0,64.4
female,0,36.77
female,1,82.97
female,1,54.8
female,1,52.87
female,1,56.2
female,1,65.8
female,2,65.37
female,2,102.6
female,2,99.13
female,2,75.93
female,2,93.7
female,2,94.1
female,2,71.57
female,2,84
female,2,63.5
female,2,157.1
female,2,108.63
female,2,72.6
female,3,115.23
female,3,92.33
female,3,108.2
female,3,94.1
female,3,94.93
female,3,79.07
female,3,48.13
female,3,92.33
female,3,129.67
female,4,75.87
female,6,113.13
female,7,144.6
male,0,32.27
male,0,6
male,0,45.53
male,0,16.47
male,0,2.07
male,0,2.03
male,0,24.5
male,0,55.3
male,0,15.53
male,0,10.7
male,0,41.4
male,0,31.1
male,0,59.5
male,0,33.43
male,0,9.97
male,0,58.37
male,0,28.47
male,0,49.13
male,0,0.03
male,0,45.3
male,0,55.87
male,0,23.2
male,0,90.2
male,0,25.67
male,0,34.17
male,0,32.7
male,0,45.43
male,0,33.3
male,0,47.27
male,0,55.87
male,0,83.03
male,0,46.2
male,0,38.07
male,0,40.6
male,0,69.43
male,0,32.97
male,0,30.87
male,0,29.43
male,0,30.5
male,0,33.6
male,0,45.8
male,0,45.97
male,0,44.13
male,0,62.77
male,0,44.47
male,0,44.07
male,0,33.07
male,0,38.07
male,0,35.17
male,0,40.93
male,0,33.4
male,0,35.23
male,0,55.93
male,0,42.7
male,0,30.63
male,0,35.13
male,0,41.47
male,0,51.9
male,0,40.63
male,1,48.37
male,1,34.57
male,1,49.77
male,1,27.1
male,1,38.33
male,1,43.77
male,1,24.87
male,2,52.67
male,2,16.57
male,2,70.07
male,3,68.3
male,3,78.5
male,3,53.57
male,5,46.4
male,5,34.57
male,5,72.03
male,6,44.47
male,6,27
male,7,75.63
male,15,104.23
